Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
6,Rahim Yar Khan,4813867,0,9.525
7,Rahim Yar Khan,4813867,0,14.525
8,Rahim Yar Khan,4813867,1,20.525
9,Rahim Yar Khan,4813867,2,32
10,Rahim Yar Khan,4813867,4,49.525
11,Rahim Yar Khan,4813867,9.475,71.625
12,Rahim Yar Khan,4813867,19.9,109.4
13,Rahim Yar Khan,4813867,32,161.225
14,Rahim Yar Khan,4813867,59.375,227.1
1,Rajanpur,1995487,0,5.525
2,Rajanpur,1995487,0,10.05
3,Rajanpur,1995487,1,18.525
4,Rajanpur,1995487,1.475,28.525
5,Rajanpur,1995487,5,44.05
6,Rajanpur,1995487,7.475,63.1
7,Rajanpur,1995487,13.475,91.575
8,Rajanpur,1995487,24,127
9,Rajanpur,1995487,36.425,184.05
10,Rajanpur,1995487,54.425,258.525
11,Rajanpur,1995487,95.95,354.3
12,Rajanpur,1995487,150,498.1
13,Rajanpur,1995487,207.75,677.1
14,Rajanpur,1995487,339.175,939.075
1,Rawalpindi,10007179,1,6
2,Rawalpindi,10007179,2,9.525
3,Rawalpindi,10007179,2,17.525
4,Rawalpindi,10007179,2,24
5,Rawalpindi,10007179,2,35.525
6,Rawalpindi,10007179,3.475,55.575
7,Rawalpindi,10007179,5,90.35
8,Rawalpindi,10007179,6,127.1
9,Rawalpindi,10007179,12.85,192.425
10,Rawalpindi,10007179,20.7,285.325
11,Rawalpindi,10007179,32.075,485.075
12,Rawalpindi,10007179,54.125,688.35
13,Rawalpindi,10007179,89.025,1007.15
14,Rawalpindi,10007179,146.95,1526.975
1,Sahiwal,2517557,0,0
2,Sahiwal,2517557,0,0
3,Sahiwal,2517557,0,0
4,Sahiwal,2517557,0,0
5,Sahiwal,2517557,0,0
6,Sahiwal,2517557,0,0
7,Sahiwal,2517557,0,1
8,Sahiwal,2517557,0,1.525
9,Sahiwal,2517557,0,2
10,Sahiwal,2517557,0,2.525
11,Sahiwal,2517557,0,4.575
12,Sahiwal,2517557,0,7.575
13,Sahiwal,2517557,0,13.1
14,Sahiwal,2517557,0,20.15
1,Sanghar,2057021,0,0
2,Sanghar,2057021,0,1
3,Sanghar,2057021,0,1.525
4,Sanghar,2057021,0,2
5,Sanghar,2057021,0,3.525
6,Sanghar,2057021,0,4
7,Sanghar,2057021,0,7
8,Sanghar,2057021,0,11
9,Sanghar,2057021,0.475,15.525
10,Sanghar,2057021,0.475,28.625
11,Sanghar,2057021,2,47.15
12,Sanghar,2057021,5.9,63.525
13,Sanghar,2057021,13.475,89.15
14,Sanghar,2057021,22.425,130.725
1,Sargodha,3703468,1,3
2,Sargodha,3703468,0,3.525
3,Sargodha,3703468,0,5
4,Sargodha,3703468,0,8
5,Sargodha,3703468,0,11
6,Sargodha,3703468,0,14
7,Sargodha,3703468,0,18.525
8,Sargodha,3703468,0,27.525
9,Sargodha,3703468,0,41.1
10,Sargodha,3703468,0,55.725
11,Sargodha,3703468,0.475,80.725
12,Sargodha,3703468,2,110.125
13,Sargodha,3703468,5,141.45
14,Sargodha,3703468,10,190.675
1,Shangla,757753,0,1
2,Shangla,757753,0,2
3,Shangla,757753,0,3.05
4,Shangla,757753,0,4
5,Shangla,757753,0,7
6,Shangla,757753,0,9.525
7,Shangla,757753,0,13.525
8,Shangla,757753,0,19.625
9,Shangla,757753,0,27.2
10,Shangla,757753,1,39.625
11,Shangla,757753,3.475,55.775
12,Shangla,757753,7,76.05
13,Shangla,757753,14,107.05
14,Shangla,757753,21.475,150.775
1,Sheikhupura,3458552,0,2
2,Sheikhupura,3458552,0,6
3,Sheikhupura,3458552,0,9
4,Sheikhupura,3458552,1.475,17
5,Sheikhupura,3458552,4.475,40.05
6,Sheikhupura,3458552,10.475,88.575
7,Sheikhupura,3458552,17.475,182.925
8,Sheikhupura,3458552,39.425,311.75
9,Sheikhupura,3458552,76.65,621
10,Sheikhupura,3458552,119.825,1326.65
11,Sheikhupura,3458552,221.15,3813
12,Sheikhupura,3458552,404.45,7215.725
13,Sheikhupura,3458552,656.7,14316.825
14,Sheikhupura,3458552,1354.3,38061.2
1,Sherani,153099,0,0
2,Sherani,153099,0,2
3,Sherani,153099,0,3
4,Sherani,153099,0,4
5,Sherani,153099,0,5
6,Sherani,153099,0,6.525
7,Sherani,153099,0,10.525
8,Sherani,153099,0,14
9,Sherani,153099,0,19.525
10,Sherani,153099,1,27
11,Sherani,153099,3,40
12,Sherani,153099,5,53.575
13,Sherani,153099,9.475,78
14,Sherani,153099,17.475,109.15
1,Shikarpur,1230739,0,7
2,Shikarpur,1230739,0,13
3,Shikarpur,1230739,1.475,24.525
4,Shikarpur,1230739,3.95,38.525
5,Shikarpur,1230739,11.475,58.575
6,Shikarpur,1230739,21,87.05
7,Shikarpur,1230739,35.9,125.625
8,Shikarpur,1230739,59,179
9,Shikarpur,1230739,87.475,261.675
10,Shikarpur,1230739,134.475,364.6
11,Shikarpur,1230739,213.125,531.225
12,Shikarpur,1230739,317.5,750.45
13,Shikarpur,1230739,488.675,1080.475
14,Shikarpur,1230739,767.95,1482.575
1,Sialkot,3893533,0,2.05
2,Sialkot,3893533,0,4
3,Sialkot,3893533,0,5
4,Sialkot,3893533,0,8.525
5,Sialkot,3893533,0,13.525
6,Sialkot,3893533,0,21.05
7,Sialkot,3893533,0,34.525
8,Sialkot,3893533,1.475,55.525
9,Sialkot,3893533,6.475,88.25
10,Sialkot,3893533,13.475,128.1
11,Sialkot,3893533,25.475,202.05
12,Sialkot,3893533,41.9,291.925
13,Sialkot,3893533,69.375,417.15
14,Sialkot,3893533,116.175,664.65
1,Sibi,135568,0,0
2,Sibi,135568,0,0
3,Sibi,135568,0,0
4,Sibi,135568,0,1
5,Sibi,135568,0,2
6,Sibi,135568,0,3
7,Sibi,135568,0,5
8,Sibi,135568,0,7.05
9,Sibi,135568,0,10.05
10,Sibi,135568,0,14.575
11,Sibi,135568,0,15.525
12,Sibi,135568,0,24.575
13,Sibi,135568,2,34.525
14,Sibi,135568,3,47.825
1,Skardu,324535,18,27.525
2,Skardu,324535,21.475,37.575
3,Skardu,324535,26.475,50.525
4,Skardu,324535,33,68
5,Skardu,324535,41.475,87.05
6,Skardu,324535,53.475,114.15
7,Skardu,324535,69.95,146.675
8,Skardu,324535,87.425,185.15
9,Skardu,324535,112.9,238.45
10,Skardu,324535,146.425,309
11,Skardu,324535,194.95,382.25
12,Skardu,324535,243.75,509.6
13,Skardu,324535,322.075,670.2
14,Skardu,324535,416.125,863.05
1,South Waziristan,679016,1.475,4
2,South Waziristan,679016,1,6.525
3,South Waziristan,679016,1,9
4,South Waziristan,679016,1,12.05
5,South Waziristan,679016,2,16.525
6,South Waziristan,679016,3,24.1
7,South Waziristan,679016,3,32.525
8,South Waziristan,679016,4,39.05
9,South Waziristan,679016,5.475,52.1
10,South Waziristan,679016,7.475,73.675
11,South Waziristan,679016,14.475,102.3
12,South Waziristan,679016,22.425,129.25
13,South Waziristan,679016,30,169.525
14,South Waziristan,679016,49.475,220.3
1,Sukkur,1475668,328.95,369.675
2,Sukkur,1475668,421.95,485.1
3,Sukkur,1475668,547.425,642.1
4,Sukkur,1475668,702.325,867.925
5,Sukkur,1475668,908,1144.025
6,Sukkur,1475668,1182.95,1495
7,Sukkur,1475668,1540.8,1971.25
8,Sukkur,1475668,2005.7,2556.35
9,Sukkur,1475668,2583.125,3380.3
10,Sukkur,1475668,3359.15,4408.675
11,Sukkur,1475668,4417.225,5804.75
12,Sukkur,1475668,5660.6,7689.925
13,Sukkur,1475668,7283.875,9932.375
14,Sukkur,1475668,9530.8,12963.975
1,Swabi,1624487,0,1
2,Swabi,1624487,0,2
3,Swabi,1624487,0,4
4,Swabi,1624487,0,5
5,Swabi,1624487,0,8
6,Swabi,1624487,0,12.525
7,Swabi,1624487,0,20.1
8,Swabi,1624487,1.475,32.2
9,Swabi,1624487,2.475,44.25
10,Swabi,1624487,5.9,70.775
11,Swabi,1624487,13.325,112.1
12,Swabi,1624487,19.9,183.3
13,Swabi,1624487,39.6,355.6
14,Swabi,1624487,66.075,549.525
1,Swat,2309320,0,2
2,Swat,2309320,0,4.525
3,Swat,2309320,0,8
4,Swat,2309320,0,12.05
5,Swat,2309320,0,17.05
6,Swat,2309320,1,24.05
7,Swat,2309320,2,36
8,Swat,2309320,5.475,55.05
9,Swat,2309320,12.475,79.05
10,Swat,2309320,21.475,110.625
11,Swat,2309320,38.425,153.575
12,Swat,2309320,59,207.575
13,Swat,2309320,92.425,310.3
14,Swat,2309320,140.75,414.05
1,Tando Allahyar,836855,0,0
2,Tando Allahyar,836855,0,0.525
3,Tando Allahyar,836855,0,2
4,Tando Allahyar,836855,0,3.525
5,Tando Allahyar,836855,0,4.05
6,Tando Allahyar,836855,0,5.575
7,Tando Allahyar,836855,0,7
8,Tando Allahyar,836855,0,10.525
9,Tando Allahyar,836855,0,15.575
10,Tando Allahyar,836855,0,26.2
11,Tando Allahyar,836855,0,37.875
12,Tando Allahyar,836855,0,45.875
13,Tando Allahyar,836855,2,63.45
14,Tando Allahyar,836855,3,92.2
1,Tando Muhammad Khan,677159,0,0
2,Tando Muhammad Khan,677159,0,1
3,Tando Muhammad Khan,677159,0,1
4,Tando Muhammad Khan,677159,0,2
5,Tando Muhammad Khan,677159,0,4
6,Tando Muhammad Khan,677159,0,5.525
7,Tando Muhammad Khan,677159,0,8
8,Tando Muhammad Khan,677159,0,11.525
9,Tando Muhammad Khan,677159,0,25.05
10,Tando Muhammad Khan,677159,0.475,40.525
11,Tando Muhammad Khan,677159,3,71.05
12,Tando Muhammad Khan,677159,7.475,136.5
13,Tando Muhammad Khan,677159,17,221.25
14,Tando Muhammad Khan,677159,30,406.675
1,Tank,39185,0,0
2,Tank,39185,0,0
3,Tank,39185,0,0
4,Tank,39185,0,0
5,Tank,39185,0,0
6,Tank,39185,0,0
7,Tank,39185,0,0.525
8,Tank,39185,0,1.525
9,Tank,39185,0,2
10,Tank,39185,0,3
11,Tank,39185,0,4
12,Tank,39185,0,7
13,Tank,39185,0,11.525
14,Tank,39185,0,15.525
1,Tharparker,1649661,0,0
2,Tharparker,1649661,0,0
3,Tharparker,1649661,0,0
4,Tharparker,1649661,0,0
5,Tharparker,1649661,0,0
6,Tharparker,1649661,0,0
7,Tharparker,1649661,0,0
8,Tharparker,1649661,0,0
9,Tharparker,1649661,0,0
10,Tharparker,1649661,0,1
11,Tharparker,1649661,0,1
12,Tharparker,1649661,0,3
13,Tharparker,1649661,0,5
14,Tharparker,1649661,0,7
1,Thatta,1760832,0,4
2,Thatta,1760832,0,8.525
3,Thatta,1760832,1,17
4,Thatta,1760832,5,35
5,Thatta,1760832,7.475,77.35
6,Thatta,1760832,18.475,144.575
7,Thatta,1760832,31.475,267.975
8,Thatta,1760832,53.95,485.5
9,Thatta,1760832,117.625,1017.275
10,Thatta,1760832,203.525,1588.675
11,Thatta,1760832,349.05,3255.825
12,Thatta,1760832,583.4,6859.825
13,Thatta,1760832,1004.05,12240.5
14,Thatta,1760832,1567.775,21854.275
1,Toba Tek Singh,2190014,0,0
2,Toba Tek Singh,2190014,0,0
3,Toba Tek Singh,2190014,0,0
4,Toba Tek Singh,2190014,0,0
5,Toba Tek Singh,2190014,0,0
6,Toba Tek Singh,2190014,0,0
7,Toba Tek Singh,2190014,0,1
8,Toba Tek Singh,2190014,0,1.525
9,Toba Tek Singh,2190014,0,2
10,Toba Tek Singh,2190014,0,3
11,Toba Tek Singh,2190014,0,5
12,Toba Tek Singh,2190014,0,8
13,Toba Tek Singh,2190014,0,13.05
14,Toba Tek Singh,2190014,0,21.625
1,Umerkot,1073146,0,0
2,Umerkot,1073146,0,0
3,Umerkot,1073146,0,0
4,Umerkot,1073146,0,0
5,Umerkot,1073146,0,0
6,Umerkot,1073146,0,1
7,Umerkot,1073146,0,1
8,Umerkot,1073146,0,1.525
9,Umerkot,1073146,0,2.05
10,Umerkot,1073146,0,3.525
11,Umerkot,1073146,0,4.525
12,Umerkot,1073146,0,5.05
13,Umerkot,1073146,0,9.575
14,Umerkot,1073146,0,14.05
1,Upper Kohistan,306221,0,3.525
2,Upper Kohistan,306221,0,6
3,Upper Kohistan,306221,0,8.525
4,Upper Kohistan,306221,0,12.525
5,Upper Kohistan,306221,0,17
6,Upper Kohistan,306221,1,21
7,Upper Kohistan,306221,2,33.525
8,Upper Kohistan,306221,5.475,45.05
9,Upper Kohistan,306221,7.95,63.05
10,Upper Kohistan,306221,14.425,87.05
11,Upper Kohistan,306221,23.225,122
12,Upper Kohistan,306221,35.075,171.45
13,Upper Kohistan,306221,47.55,233.925
14,Upper Kohistan,306221,71.55,306.975
1,Vehari,2897446,0,0
2,Vehari,2897446,0,0
3,Vehari,2897446,0,0
4,Vehari,2897446,0,0
5,Vehari,2897446,0,0
6,Vehari,2897446,0,0
7,Vehari,2897446,0,0
8,Vehari,2897446,0,1
9,Vehari,2897446,0,1.525
10,Vehari,2897446,0,1.525
11,Vehari,2897446,0,2.525
12,Vehari,2897446,0,4.525
13,Vehari,2897446,0,9
14,Vehari,2897446,0,11
1,Washuk,176193,0,0
2,Washuk,176193,0,0
3,Washuk,176193,0,1
4,Washuk,176193,0,2
5,Washuk,176193,0,3
6,Washuk,176193,0,5
7,Washuk,176193,0,7
8,Washuk,176193,0,10.525
9,Washuk,176193,0,15.1
10,Washuk,176193,0,20.525
11,Washuk,176193,0,30.05
12,Washuk,176193,1,42.575
13,Washuk,176193,2,57
14,Washuk,176193,5,82.675
1,Zhob,310518,0,0
2,Zhob,310518,0,1
3,Zhob,310518,0,2
4,Zhob,310518,0,3
5,Zhob,310518,0,4.525
6,Zhob,310518,0,6
7,Zhob,310518,0,8
8,Zhob,310518,0,12.1
9,Zhob,310518,0,18.1
10,Zhob,310518,0,25.675
11,Zhob,310518,0.475,39.675
12,Zhob,310518,4,53.625
13,Zhob,310518,8.475,75.525
14,Zhob,310518,14.85,102.625
1,Ziarat,160318,0,4.525
2,Ziarat,160318,0,7.525
3,Ziarat,160318,0,12
4,Ziarat,160318,0.475,18.525
5,Ziarat,160318,2.475,25
6,Ziarat,160318,5.95,36.525
7,Ziarat,160318,12.475,55.575
8,Ziarat,160318,17.95,87
9,Ziarat,160318,26.9,121.2
10,Ziarat,160318,41.225,174.525
11,Ziarat,160318,64.85,238.15
12,Ziarat,160318,100.8,335.05
13,Ziarat,160318,151.25,499.1
14,Ziarat,160318,241.8,694.825
