Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
6,Badin,1804208,0.0,19.574999999999974
6,Thatta,1758688,17.475,98.19999999999993
6,Tando Muhammad Khan,676901,1.0,31.049999999999983
6,Hyderabad,2195641,28.425,165.0249999999998
6,Tando Allahyar,835838,10.95,90.67499999999994
6,Mirpur Khas,1504862,0.0,25.624999999999957
6,Tharparker,1649506,0.0,8.574999999999974
6,Dadu,1549188,2.0,24.574999999999974
6,Qambar Shahdadkot,1338677,7.0,62.67499999999994
6,Larkana,1522467,12.0,58.04999999999998
6,Naushahro Firoz,1609155,54.474999999999994,169.2999999999999
6,Jamshoro,986871,80.475,197.67499999999995
6,Ghotki,1638241,128.64999999999998,306.67499999999995
6,Kashmore,1079057,160.0,315.625
6,Sukkur,1440979,1480.975,1928.525
6,Matiari,767251,5.475,59.099999999999966
6,Sanghar,2055016,32.900000000000006,97.52499999999999
6,Jacobabad,1003443,28.9,98.04999999999998
6,Shikarpur,1215502,176.325,446.62499999999994
6,Nawabshah,2007281,67.425,175.67499999999995
6,Karachi,17034124,228.275,1725.2749999999996
6,Khairpur,2393288,187.325,420.15
6,Umerkot,1072430,7.475,52.04999999999998
7,Badin,1804208,2.0,34.04999999999998
7,Thatta,1758688,31.475,171.52499999999998
7,Tando Muhammad Khan,676901,3.0,49.04999999999998
7,Hyderabad,2195641,48.0,288.15
7,Tando Allahyar,835838,16.424999999999997,142.14999999999995
7,Mirpur Khas,1504862,1.475,39.67499999999994
7,Tharparker,1649506,0.0,13.524999999999991
7,Dadu,1549188,4.9,47.0
7,Qambar Shahdadkot,1338677,10.475000000000001,93.09999999999997
7,Larkana,1522467,23.85,101.0
7,Naushahro Firoz,1609155,92.375,262.0749999999998
7,Jamshoro,986871,128.95,325.29999999999956
7,Ghotki,1638241,204.675,494.6749999999999
7,Kashmore,1079057,251.89999999999998,499.04999999999995
7,Sukkur,1440979,2135.225,2871.05
7,Matiari,767251,10.425,96.09999999999997
7,Sanghar,2055016,56.95,148.52499999999998
7,Jacobabad,1003443,51.0,149.52499999999998
7,Shikarpur,1215502,309.07500000000005,658.625
7,Nawabshah,2007281,111.0,283.15
7,Karachi,17034124,418.2,3589.5999999999967
7,Khairpur,2393288,309.475,639.0999999999999
7,Umerkot,1072430,13.475000000000001,75.04999999999998
8,Badin,1804208,5.475,54.0
8,Thatta,1758688,55.9,352.47499999999934
